k_relief: 10, accuracy: 78.86
k_relief: 11, accuracy: 80.0
k_relief: 12, accuracy: 82.29
k_relief: 13, accuracy: 81.71
k_relief: 14, accuracy: 81.71
k_relief: 15, accuracy: 81.14
k_relief: 16, accuracy: 79.71
k_relief: 17, accuracy: 79.43
k_relief: 18, accuracy: 80.57
k_relief: 19, accuracy: 80.86
k_relief: 20, accuracy: 80.0
k_relief: 21, accuracy: 78.86
k_relief: 22, accuracy: 81.43
k_relief: 23, accuracy: 80.86
k_relief: 24, accuracy: 80.29
k_relief: 25, accuracy: 81.14
k_relief: 26, accuracy: 81.43
k_relief: 27, accuracy: 82.29
k_relief: 28, accuracy: 81.43
k_relief: 29, accuracy: 80.29
k_relief: 30, accuracy: 80.86
k_relief: 31, accuracy: 81.43
k_relief: 32, accuracy: 79.43
k_relief: 33, accuracy: 79.71
k_relief: 34, accuracy: 80.29
k_relief: 35, accuracy: 79.43
k_relief: 36, accuracy: 80.57
k_relief: 37, accuracy: 78.29
k_relief: 38, accuracy: 78.57
k_relief: 39, accuracy: 80.0
k_relief: 40, accuracy: 80.29
k_relief: 41, accuracy: 79.43
k_relief: 42, accuracy: 80.0
k_relief: 43, accuracy: 79.14
k_relief: 44, accuracy: 78.0
k_relief: 45, accuracy: 81.71
k_relief: 46, accuracy: 82.0
k_relief: 47, accuracy: 80.57
k_relief: 48, accuracy: 81.43
k_relief: 49, accuracy: 82.57
k_relief: 50, accuracy: 82.86
k_relief: 51, accuracy: 81.43
k_relief: 52, accuracy: 80.57
k_relief: 53, accuracy: 81.43
k_relief: 54, accuracy: 82.0
k_relief: 55, accuracy: 82.0
k_relief: 56, accuracy: 82.0
k_relief: 57, accuracy: 81.71
k_relief: 58, accuracy: 81.14
k_relief: 59, accuracy: 80.86
k_relief: 60, accuracy: 80.0
k_relief: 61, accuracy: 80.29
k_relief: 62, accuracy: 80.0
k_relief: 63, accuracy: 80.0
k_relief: 64, accuracy: 79.71
k_relief: 65, accuracy: 80.0
k_relief: 66, accuracy: 81.14
k_relief: 67, accuracy: 80.29
k_relief: 68, accuracy: 80.29
k_relief: 69, accuracy: 80.29
k_relief: 70, accuracy: 80.0
k_relief: 71, accuracy: 80.0
k_relief: 72, accuracy: 80.29
k_relief: 73, accuracy: 80.0
k_relief: 74, accuracy: 80.86
k_relief: 75, accuracy: 80.57
k_relief: 76, accuracy: 80.29
k_relief: 77, accuracy: 80.86
